fraction,train_size,init_type,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_best_val_acc,std_best_val_acc
1.0,89996,pretrained,0.9400649953574746,0.005322327014786987,0.9173437099384026,0.005712424816532684,0.990703718512595,0.0004580743397596627
1.0,89996,scratch,0.8084029712163416,0.027216328322342023,0.7651275697501413,0.022137871826525504,0.9312608290017327,0.006162219478283966
0.5,44998,pretrained,0.9377901578458682,0.0048031632892767216,0.9142993985366926,0.005439990596513035,0.9832067173130747,0.0017081175020627034
0.5,44998,scratch,0.7520891364902508,0.042790991699197464,0.7047168311118727,0.030140804630900356,0.8880447820871651,0.0024869762704167577
0.25,22499,pretrained,0.9332404828226556,0.0039055202939736406,0.9039621171717135,0.00517937760364,0.973777155804345,0.0005857122428111125
0.25,22499,scratch,0.7493500464252554,0.06235485599742204,0.6973175984753888,0.04105247508549145,0.8564907370385179,0.005772059828426462
0.1,8999,pretrained,0.9315227483751162,0.00544126967042632,0.899911117832329,0.006802587254578275,0.9515193922431028,0.0007807126825175987
0.1,8999,scratch,0.6865831012070567,0.0439159113329495,0.6404692203464845,0.0352083246061797,0.7678928428628549,0.014817365535552464
0.05,4499,pretrained,0.9102135561745589,0.003920392225356703,0.8687570250498727,0.004323667172995119,0.9066040250566441,0.006765109950366481
0.05,4499,scratch,0.6539461467038069,0.04286489355437191,0.6006232495878189,0.04982432489580628,0.6994535519125683,0.010050994934353378
